Well;SampleID;Zone;Porosity;Permeability_Kl;Rt;Sw;RI;Temp;Rw;Salinity;Condition
2PO;23955-18;AC11;19.93887437;6.733;12.13096278;72.49982626;1.850651792;20;0.379900033;17.6;AC
2PO;23967-18;AC11;19.11225222;5.822;11.03462402;76.95379889;1.54786889;20;0.379900033;17.6;AC
2PO;23975-18;AC11;19.76644743;8.613;11.81077098;71.94519928;1.83290208;20;0.379900033;17.6;AC
2PO;23976-18;AC11;20.37058581;13.931;13.12845766;65.86745991;2.10207641;20;0.379900033;17.6;AC
2PO;23982-18;AC11;18.5720315;4.915;10.92256959;76.14899296;1.534629336;20;0.379900033;17.6;AC
2PO;23988-18;AC11;20.1238949;8.871;11.7483056;69.86573289;1.757099077;20;0.379900033;17.6;AC
2PO;23992-18;AC11;17.72114196;1.331;8.523269538;93.7286557;1.12707658;20;0.379900033;17.6;AC
2PO;23995-18;AC11;16.42498569;0.838;11.29203509;94.72685888;1.159863502;20;0.379900033;17.6;AC
2PO;24001-18;AC11;19.27296155;4.036;10.1726496;82.06711722;1.405903021;20;0.379900033;17.6;AC
2PO;24011-18;AC11;19.71136066;6.85;11.64699346;72.75064267;1.753271805;20;0.379900033;17.6;AC
2PO;24028-18;AC11;20.67449397;18.267;14.26490526;62.67121798;2.244044342;20;0.379900033;17.6;AC
2PO;24030-18;AC11;20.77914793;18.67;13.37712519;61.82620639;2.226758444;20;0.379900033;17.6;AC
2PO;24033-18;AC11;20.73713658;16.992;14.57947665;63.02432379;2.275032909;20;0.379900033;17.6;AC
2PO;24043-18;AC11;19.07877164;5.3;12.27425283;76.23208753;1.708661659;20;0.379900033;17.6;AC
2PO;24045-18;AC11;19.35066961;7.281;12.02328903;72.21341662;1.770815719;20;0.379900033;17.6;AC
2PO;24046-18;AC11;19.45327602;7.39;10.77036058;73.47774621;1.614562066;20;0.379900033;17.6;AC
2PO;24048-18;AC11;16.28619141;1.07;10.92797139;92.98972536;1.206698197;20;0.379900033;17.6;AC
2PO;24054-18;AC11;20.42451257;12.705;12.62046866;67.46760844;1.93815489;20;0.379900033;17.6;AC
2PO;24066-18;AC11;19.39508083;7.572;12.15345994;72.80713987;1.753316275;20;0.379900033;17.6;AC
2PO;24069-18;AC11;18.88262577;5.244;11.40826229;78.78897055;1.585255704;20;0.379900033;17.6;AC
2PO;24071-18;AC11;18.09291385;3.435;10.48099873;85.2096588;1.354354664;20;0.379900033;17.6;AC
2PO;24075-18;AC11;20.21864077;14.578;13.8025557;64.2158189;2.161412255;20;0.379900033;17.6;AC
